koi_disposition,koi_prad,koi_dicco_msky,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_fpflag_co,koi_fittype,koi_dikco_msky
0,12.28,0.132,0,1,0,0,4,0.075
0,17.61,0.061,0,1,0,0,4,0.105
0,31.44,0.176,0,1,0,0,4,0.166
1,7.89,0.02,0,0,0,0,4,0.07
1,3.06,0.29,0,0,0,0,4,0.33
1,2.32,0.23,0,0,0,0,4,0.28
1,1.62,0.82,0,0,0,0,4,0.85
1,1.53,0.36,0,0,0,0,4,0.22
1,2.67,0.88,0,0,0,0,4,0.87
1,2.35,0.13,0,0,0,0,4,0.27
1,2.37,0.53,0,0,0,0,4,0.95
0,17.06,6.355,0,1,1,1,4,6.483
1,2.25,0.08,0,0,0,0,4,0.18
1,1.48,0.17,0,0,0,0,4,0.22
0,38.33,0.163,0,1,0,0,4,0.17
1,8.24,0.033,0,0,0,0,4,0.178
1,5.39,0.039,0,0,0,0,4,0.08
1,2.66,0.74,0,0,0,0,4,0.06
1,3.01,0.15,0,0,0,0,4,0.22
1,3.01,0.24,0,0,0,0,4,0.31
2,2.19,0.56,0,0,0,0,4,0.09
1,2.31,0.16,0,0,0,0,4,0.03
1,2.64,0.09,0,0,0,0,4,0.13
1,6.21,0.05,0,0,0,0,4,0.186
1,4.35,0.054,0,0,0,0,4,0.139
1,3.75,0.118,0,0,0,0,4,0.214
1,13.84,0.011,0,0,0,0,4,0.025
1,7.59,0.061,0,0,0,0,4,0.219
0,26.82,5.464,0,1,0,1,4,5.752
1,2.29,0.46,0,0,0,0,4,0.81
1,2.47,0.05,0,0,0,0,4,0.19
1,3.68,0.064,0,0,0,0,4,0.06
2,10.59,0.056,0,0,0,0,4,0.123
1,2.56,0.13,0,0,0,0,4,0.08
1,3.03,0.26,0,0,0,0,4,0.35
1,2.32,0.11,0,0,0,0,4,0.23
1,1.94,0.35,0,0,0,0,4,0.6
1,11.38,0.028,0,0,0,0,4,0.289
2,14.21,0.138,0,0,0,0,4,0.067
1,2.47,0.08,0,0,0,0,4,0.06
1,8.2,0.01,0,0,0,0,4,0.47
1,2.28,0.41,0,0,0,0,4,0.45
2,19.02,0.072,0,0,0,0,4,0.16
0,2.66,9.287,0,1,1,1,4,9.389
1,1.41,0.2,0,0,0,0,4,0.38
0,14.62,0.027,0,1,0,0,4,0.173
1,2.62,0.07,0,0,0,0,4,0.07
1,3.11,0.28,0,0,0,0,4,0.25
1,2.69,0.25,0,0,0,0,4,0.02
1,2.67,0.39,0,0,0,0,4,0.36
2,8.98,2.28,0,0,0,0,4,0.078
1,7.78,0.46,0,0,0,0,4,0.47
0,4.37,4.162,0,1,0,1,4,4.135
1,3.91,0.09,0,0,0,0,4,0.07
1,5.51,0.079,0,0,0,0,4,0.093
1,2.43,0.02,0,0,0,0,4,0.12
1,1.86,0.52,0,0,0,0,4,0.48
1,3.07,0.26,0,0,0,0,4,0.41
1,1.69,0.43,0,0,0,0,4,0.29
1,1.73,0.113,0,0,0,0,4,0.34
1,1.65,0.095,0,0,0,0,4,0.29
2,22.94,0.009,0,0,0,0,4,0.185
0,2.41,0.53,0,1,0,0,4,0.35
1,8.46,0.015,0,0,0,0,4,0.099
1,1.97,0.19,0,0,0,0,4,0.19
1,2.36,0.44,0,0,0,0,4,0.36
1,2.35,0.066,0,0,0,0,4,0.034
1,1.55,0.27,0,0,0,0,4,0.38
2,2.62,0.083,0,0,0,0,4,0.055
0,588.66,0.051,0,1,0,0,4,0.123
